N;"El sistema debe permitir a los usuarios autenticados cambiar su contraseña desde la sección ""Configuración de Cuenta"" en un máximo de tres pasos.";Este requisito no es ambiguo porque especifica quién puede realizar la acción (usuarios autenticados), define la funcionalidad (cambiar contraseña), indica dónde se realizará la acción (configuración de cuenta) y establece un límite en el número de pasos (máximo 3)
A;El sistema debe enviar notificaciones rápidamente después de que ocurra un evento.;"Este requisito es ambiguo porque no define qué se considera ""rápidamente"", no especifica el tipo de notificaciones ni cuáles eventos desencadenan las notificaciones."
A;El sistema debe generar informes regularmente.;Este requisito es ambiguo porque no especifica la periodicidad exacta de la generación de informes, no define el formato de los informes ni el contenido que deben incluir.
N;El sistema debe enviar un correo electrónico de confirmación a los usuarios dentro de los 5 minutos posteriores a la finalización del registro.;Este requisito no es ambiguo porque define la acción de enviar un correo electrónico de confirmación, especifica que será dentro de los 5 minutos al finalizar el registro e identifica los destinatarios.
A;El sistema debe ser capaz de manejar grandes cantidades de datos.;"Este requisito es ambiguo porque no define qué se considera ""grandes cantidades de datos"", no especifica cómo se debe manejar estos datos ni bajo qué condiciones el sistema debe cumplir con este requisito."
A;El sistema debe permitir a los usuarios personalizar su experiencia.;Este requisito es ambiguo porque no especifica qué aspectos de la experiencia pueden ser personalizados, no define cómo se realiza la personalización ni quiénes pueden realizarla.
N;El sistema debe generar un informe mensual en formato PDF que incluya las ventas totales, desglosadas por categoría de producto, para cada mes calendario.;Este requisito es no ambiguo porque especifica el formato (pdf), define la periocidad (mensual) e indica el contenido del informe.
A;El sistema debe proporcionar informes útiles a los administradores.;"Este requisito es ambiguo porque no especifica qué se considera ""informes útiles"", no define el tipo de información que deben contener los informes ni cómo los administradores usarán esa información."
N;El sistema debe permitir a los usuarios buscar productos por nombre, categoría o precio, y mostrar los resultados en una lista con un máximo de 10 resultados por página.;Este requisito es no ambiguo porque especifica las opciones de búsqueda disponibles, define cómo se mostrarán los resultados e indica un límite claro en la presentación de los resultados.
A;El sistema debe permitir a los usuarios gestionar su información personal.;Este requisito es ambiguo porque no especifica qué aspectos de la información personal pueden ser gestionados, no define las acciones específicas que los usuarios pueden realizar (como editar, eliminar, añadir) ni el alcance de esta gestión.
